Domain;Fluent;Accumulated Reward (LB);Accumulated Reward (UB);Range (fluent);Range (regular MDP);Score (as Diff);Score (as Explained Interval)
Reservoir;regular;-815452.7109360191;1309907.7621567568;2125360.473092776;2125360.473092776;0.0;1.0
Reservoir;rlevel___t1;-888634.7498266958;1309948.826062146;2198583.575888842;2125360.473092776;73223.10279606609;1.0344520864686608
Reservoir;rlevel___t2;-815708.129561765;1309948.826062146;2125656.955623911;2125360.473092776;296.48253113543615;1.0001394975275437
Reservoir;rlevel___t3;-815452.7109360191;1309907.7621567568;2125360.473092776;2125360.473092776;0.0;1.0
Reservoir;rlevel___t4;-815452.7109360191;1309907.7621567568;2125360.473092776;2125360.473092776;0.0;1.0
Reservoir;rlevel___t5;-816486.0236277907;1309907.7621567568;2126393.7857845477;2125360.473092776;1033.312691771891;1.000486182322883
Reservoir;rlevel___t6;-816445.0084903275;1625517.7553365424;2441962.76382687;2125360.473092776;316602.2907340941;1.148964043860937
Reservoir;rlevel___t7;-815452.7109360191;1309907.7621567568;2125360.473092776;2125360.473092776;0.0;1.0
Reservoir;rlevel___t8;-815452.7109360191;1313898.1622398705;2129350.8731758897;2125360.473092776;3990.4000831139274;1.0018775168417935
Reservoir;rlevel___t9;-892388.5858322171;1312042.1593286763;2204430.7451608935;2125360.473092776;79070.27206811775;1.037203228849484
Reservoir;rlevel___t10;-815452.7109360191;1309907.7621567568;2125360.473092776;2125360.473092776;0.0;1.0
